Title,Date,title_nostop,title_stemmed,sentiment_score
"['medicinalindustrien', 'holder', 'hjulene', 'i', 'gang', 'i', 'dansk', 'økonomi']",2023-05-31,"['medicinalindustrien', 'holder', 'hjulene', 'gang', 'dansk', 'økonomi']","['medicinalindustri', 'hold', 'hjul', 'gang', 'dansk', 'økonomi']",0.0
"['novo', 'nordisk', 'kom', 'med', 'atypisk', 'ønske', 'ville', 'have', 'myndighedernes', 'hjælp']",2023-05-29,"['novo', 'nordisk', 'kom', 'atypisk', 'ønske', 'myndighedernes', 'hjælp']","['novo', 'nordisk', 'kom', 'atypisk', 'ønsk', 'myndighed', 'hjælp']",4.0
"['privatøkonomisk', 'brevkasse', 'betal', 'mindre', 'skat', 'på', 'dine', 'aktier', 'med', 'dette', 'råd']",2023-05-28,"['privatøkonomisk', 'brevkasse', 'betal', 'mindre', 'skat', 'dine', 'aktier', 'råd']","['privatøkonomisk', 'brevkas', 'betal', 'mindr', 'skat', 'din', 'akti', 'råd']",0.0
"['lægeformand', 'havde', 'ret', 'novo', 'nordisk', 'vil', 'ændre', 'problematisk', 'ordlyd', 'i', 'kontrakt']",2023-05-26,"['lægeformand', 'ret', 'novo', 'nordisk', 'ændre', 'problematisk', 'ordlyd', 'kontrakt']","['lægeformand', 'ret', 'novo', 'nordisk', 'ændr', 'problematisk', 'ordlyd', 'kontrak']",-2.0
"['recepter', 'på', 'populært', 'slankemiddel', 'stiger', 'igen', 'i', 'april']",2023-05-26,"['recepter', 'populært', 'slankemiddel', 'stiger', 'igen', 'april']","['recept', 'populært', 'slankemiddel', 'stig', 'igen', 'april']",3.0
"['businessoverblik', 'novos', 'vidundermolekyle', 'gør', 'guldminen', 'dybere', 'og', 'dybere']",2023-05-26,"['businessoverblik', 'novos', 'vidundermolekyle', 'gør', 'guldminen', 'dybere', 'dybere']","['businessoverblik', 'novo', 'vidundermolekyl', 'gør', 'guldmin', 'dyb', 'dyb']",0.0
"['ros', 'til', 'tapper', 'lægeformand', 'som', 'sejler', 'op', 'mod', 'magtfuldkommen', 'medicinalkæmpe']",2023-05-25,"['ros', 'tapper', 'lægeformand', 'sejler', 'magtfuldkommen', 'medicinalkæmpe']","['ros', 'tap', 'lægeformand', 'sejl', 'magtfuldkom', 'medicinalkæmp']",3.0
"['novo', 'nordisk', 'går', 'i', 'kødet', 'på', 'dr', 'efter', 'betændte', 'udsagn', 'fra', 'lægeformand', 'nu', 'uddyber', 'hun', 'selv', 'sagen']",2023-05-25,"['novo', 'nordisk', 'går', 'kødet', 'dr', 'betændte', 'udsagn', 'lægeformand', 'uddyber', 'sagen']","['novo', 'nordisk', 'går', 'kød', 'dr', 'betænd', 'udsagn', 'lægeformand', 'uddyb', 'sag']",0.0
"['så', 'let', 'som', 'ingenting', 'kunne', 'berlingskes', 'journalist', 'bestille', 'det', 'populære', 'slankemiddel', 'nu', 'sender', 'styrelse', 'råb', 'om', 'hjælp']",2023-05-23,"['så', 'let', 'ingenting', 'berlingskes', 'journalist', 'bestille', 'populære', 'slankemiddel', 'sender', 'styrelse', 'råb', 'hjælp']","['så', 'let', 'ingenting', 'berlingsk', 'journalist', 'bestil', 'populær', 'slankemiddel', 'send', 'styr', 'råb', 'hjælp']",5.0
"['i', 'populært', 'drprogram', 'rettede', 'lægeformand', 'en', 'hård', 'anklage', 'mod', 'novo', 'nordisk', 'selskabet', 'afviser', 'på', 'det', 'kraftigste']",2023-05-23,"['populært', 'drprogram', 'rettede', 'lægeformand', 'hård', 'anklage', 'novo', 'nordisk', 'selskabet', 'afviser', 'kraftigste']","['populært', 'drprogram', 'retted', 'lægeformand', 'hård', 'anklag', 'novo', 'nordisk', 'selskab', 'afvis', 'kraft']",0.0
"['vægttabstablet', 'fra', 'novo', 'viser', 'resultater', 'svarende', 'til', 'wegovy']",2023-05-22,"['vægttabstablet', 'novo', 'viser', 'resultater', 'svarende', 'wegovy']","['vægttabstabl', 'novo', 'vis', 'resultat', 'svar', 'wegovy']",0.0
"['efter', 'afsløringer', 'i', 'berlingske', 'sender', 'styrelse', 'brev', 'til', 'apoteker', 'om', 'populært', 'slankemiddel']",2023-05-17,"['afsløringer', 'berlingske', 'sender', 'styrelse', 'brev', 'apoteker', 'populært', 'slankemiddel']","['afsløring', 'berlingsk', 'send', 'styr', 'brev', 'apotek', 'populært', 'slankemiddel']",3.0
"['businessoverblik', 'medicinalgigant', 'sætter', 'rekord', 'who', 'advarer', 'mod', 'hype']",2023-05-15,"['businessoverblik', 'medicinalgigant', 'sætter', 'rekord', 'who', 'advarer', 'hype']","['businessoverblik', 'medicinalgigant', 'sæt', 'rekord', 'who', 'advar', 'hyp']",-2.0
"['på', 'en', 'videoforbindelse', 'blev', 'dansk', 'topchef', 'skældt', 'ud', 'af', 'bernie', 'sanders', 'og', 'senatoren', 'var', 'ikke', 'tilfreds', 'med', 'hr', 'jørgensens', 'forsvar']",2023-05-11,"['videoforbindelse', 'dansk', 'topchef', 'skældt', 'bernie', 'sanders', 'senatoren', 'tilfreds', 'hr', 'jørgensens', 'forsvar']","['videoforbind', 'dansk', 'topchef', 'skæld', 'berni', 'sand', 'senator', 'tilfred', 'hr', 'jørgens', 'forsvar']",2.0
"['dansk', 'biotekfirma', 'får', 'gode', 'resultater', 'for', 'mulig', 'wegovykonkurrent']",2023-05-10,"['dansk', 'biotekfirma', 'får', 'gode', 'resultater', 'mulig', 'wegovykonkurrent']","['dansk', 'biotekfirma', 'får', 'god', 'resultat', 'mul', 'wegovykonkurrent']",0.0
"['novo', 'nordisks', 'medicin', 'kostede', '580', 'millioner', 'skattekroner', 'sidste', 'år']",2023-05-05,"['novo', 'nordisks', 'medicin', 'kostede', '580', 'millioner', 'skattekroner', 'sidste', 'år']","['novo', 'nordisk', 'medicin', 'kosted', '580', 'million', 'skattekron', 'sidst', 'år']",0.0
"['novo', 'nordisk', 'må', 'skrue', 'ned', 'for', 'adgang', 'til', 'vægttabsmiddel', 'i', 'usa']",2023-05-04,"['novo', 'nordisk', 'må', 'skrue', 'adgang', 'vægttabsmiddel', 'usa']","['novo', 'nordisk', 'må', 'skrue', 'adgang', 'vægttabsmiddel', 'usa']",0.0
