Title,Date,title_nostop,title_stemmed,sentiment_score
"['aktier', 'på', 'beskeden', 'optur']",2007-04-30,"['aktier', 'beskeden', 'optur']","['akti', 'besked', 'optur']",0.0
"['aktier', 'tabte', 'terræn', 'over', 'ugen']",2007-04-30,"['aktier', 'tabte', 'terræn', 'ugen']","['akti', 'tabt', 'terræn', 'ugen']",0.0
"['aktier', 'tabte', 'terræn', 'over', 'ugen']",2007-04-27,"['aktier', 'tabte', 'terræn', 'ugen']","['akti', 'tabt', 'terræn', 'ugen']",0.0
"['aktieoverblik', 'markedet', 'negativt', 'fra', 'start']",2007-04-27,"['aktieoverblik', 'markedet', 'negativt', 'start']","['aktieoverblik', 'marked', 'negativt', 'start']",-2.0
"['novorival', 'foran', 'svær', 'europæisk', 'satsning']",2007-04-27,"['novorival', 'foran', 'svær', 'europæisk', 'satsning']","['novorival', 'foran', 'svær', 'europæisk', 'satsning']",-2.0
"['fogh', 'åbner', 'novofabrik', 'i', 'brasilien']",2007-04-26,"['fogh', 'åbner', 'novofabrik', 'brasilien']","['fogh', 'åbn', 'novofabrik', 'brasili']",0.0
"['børsen', 'tv', 'novo', 'nordisk', 'angribes', 'i', 'danmark']",2007-04-26,"['børsen', 'tv', 'novo', 'nordisk', 'angribes', 'danmark']","['børs', 'tv', 'novo', 'nordisk', 'angrib', 'danmark']",0.0
"['danske', 'aktier', 'taber', 'pusten']",2007-04-24,"['danske', 'aktier', 'taber', 'pusten']","['dansk', 'akti', 'tab', 'pust']",-3.0
"['optimisme', 'i', 'medicinalkoncerner']",2007-04-24,"['optimisme', 'medicinalkoncerner']","['optimism', 'medicinalkoncern']",2.0
"['novoselskab', 'overvurderet', 'med', '12', 'milliarder', 'kroner']",2007-04-24,"['novoselskab', 'overvurderet', '12', 'milliarder', 'kroner']","['novoselskab', 'overvurd', '12', 'milliard', 'kron']",0.0
"['aktieoverblik', 'c20', 'nærmer', 'sig', 'den', 'magiske', '500grænse']",2007-04-23,"['aktieoverblik', 'c20', 'nærmer', 'magiske', '500grænse']","['aktieoverblik', 'c20', 'nærm', 'magisk', '500græns']",0.0
"['aktieoverblik', 'danske', 'aktier', 'mod', 'nye', 'højder']",2007-04-23,"['aktieoverblik', 'danske', 'aktier', 'nye', 'højder']","['aktieoverblik', 'dansk', 'akti', 'nye', 'højd']",0.0
"['novokonkurrent', 'over', 'forventningerne']",2007-04-23,"['novokonkurrent', 'forventningerne']","['novokonkurrent', 'forventning']",0.0
"['novo', 'får', 'fordel', 'af', 'konkurrentdrop']",2007-04-23,"['novo', 'får', 'fordel', 'konkurrentdrop']","['novo', 'får', 'fordel', 'konkurrentdrop']",2.0
"['aktieoverblik', 'fls', 'stormer', 'fra', 'c20feltet']",2007-04-20,"['aktieoverblik', 'fls', 'stormer', 'c20feltet']","['aktieoverblik', 'fls', 'storm', 'c20felt']",0.0
"['stor', 'efterspørgsel', 'på', 'novo', 'nordisk']",2007-04-20,"['stor', 'efterspørgsel', 'novo', 'nordisk']","['stor', 'efterspørgsel', 'novo', 'nordisk']",-1.0
"['stor', 'efterspørgsel', 'på', 'novo', 'nordisk']",2007-04-19,"['stor', 'efterspørgsel', 'novo', 'nordisk']","['stor', 'efterspørgsel', 'novo', 'nordisk']",-1.0
"['aktieoverblik', 'c20', 'ser', 'rødt', 'efter', 'nedtur', 'i', 'kina']",2007-04-19,"['aktieoverblik', 'c20', 'ser', 'rødt', 'nedtur', 'kina']","['aktieoverblik', 'c20', 'ser', 'rødt', 'nedtur', 'kina']",-3.0
