Date,mean_sentiment,std_sentiment,daily_volume,daily_return
2002-12-12,0.0,0.0,2,0.009174291489354669
2003-01-22,-0.5,3.5355339059327378,2,-0.04691361873610511
2003-01-29,-1.0,1.4142135623730951,2,-0.0028011143963885266
2003-02-06,0.6,0.8944271909999159,5,0.10000010610402588
2003-02-07,-0.2,0.6324555320336759,10,0.010389512293263126
2003-02-26,-1.5,2.1213203435596424,2,-0.0074999130508
2003-04-23,0.0,0.0,3,0.006521684237839498
2003-04-29,0.0,0.0,2,-0.014736759711625025
2003-04-30,1.0,1.4142135623730951,5,0.029914420255205076
2003-05-01,1.0,1.7320508075688772,3,0.004149421173426093
2003-05-02,0.0,0.0,2,-0.008264316820195128
2003-05-07,2.0,0.0,2,0.008350581635531151
2003-05-23,2.0,0.0,2,-0.018442186699462848
2003-05-30,-1.5,1.0,4,-0.03711803894383636
